"cannons"	"rooms"	"age"	"condition"	"color"	"weight"	"style"	"price"	"sold"	"jbb"
"1"	16	5	50.7	8	"black"	9405	"modern"	394	1	600
"2"	10	31	61.9	1	"brown"	9208	"classic"	399	1	500
"3"	10	12	36.7	5	"red"	7285	"modern"	0	0	400
"4"	12	56	40.8	3	"black"	12678	"modern"	2158	1	3100
"5"	10	21	57.8	6	"black"	8282	"classic"	491	1	400
"6"	10	19	57.3	5	"brown"	7929	"classic"	0	0	200
"7"	6	16	71.6	5	"salmon"	5608	"classic"	0	0	0
"8"	14	31	55.8	7	"brown"	11040	"classic"	987	1	1300
"9"	4	18	39.2	6	"black"	4954	"modern"	0	0	600
"10"	8	37	79.4	3	"black"	8579	"classic"	436	1	0
"11"	8	45	29.5	6	"black"	9536	"modern"	1654	1	2800
"12"	14	29	68.8	7	"salmon"	10692	"classic"	974	1	800
"13"	8	13	49.8	2	"black"	6251	"classic"	0	0	100
"14"	6	34	63.6	9	"black"	7382	"classic"	543	1	400
"15"	6	45	39.6	6	"black"	8620	"modern"	923	1	2100
"16"	10	34	49.5	9	"plum"	9301	"classic"	1715	1	1600
"17"	10	48	37.5	4	"brown"	10862	"classic"	1171	1	2600
"18"	6	49	57.2	9	"brown"	8747	"classic"	1150	1	1400
"19"	4	47	82	2	"red"	7644	"classic"	0	0	0
"20"	8	24	60.4	4	"black"	7510	"classic"	174	1	200
"21"	2	18	25	5	"black"	3838	"classic"	0	0	1100
"22"	10	44	58.9	4	"black"	10637	"modern"	990	1	1400
"23"	4	17	82.4	3	"brown"	4580	"classic"	0	0	0
"24"	16	52	57.7	7	"brown"	14223	"classic"	2360	1	2500
"25"	4	46	50.4	6	"black"	7699	"modern"	812	1	1400
"26"	2	30	89.6	7	"black"	5030	"classic"	0	0	0
"27"	2	25	29.3	6	"red"	4540	"modern"	0	0	600
"28"	8	27	56.2	8	"brown"	7842	"classic"	547	1	500
"29"	16	48	91.4	3	"brown"	13956	"classic"	1475	1	500
"30"	2	32	40.5	6	"black"	5206	"modern"	25	1	1000
"31"	4	12	64.8	1	"brown"	4250	"classic"	0	0	0
"32"	10	26	23.1	7	"black"	8411	"modern"	1040	1	2400
"33"	16	37	59.9	6	"black"	12621	"classic"	1849	1	1700
"34"	4	26	95.9	5	"red"	5661	"classic"	0	0	0
"35"	2	26	45.5	7	"black"	4558	"modern"	0	0	500
"36"	10	25	66.8	2	"black"	8520	"classic"	0	0	0
"37"	12	8	55.8	6	"black"	7729	"modern"	0	0	0
"38"	8	23	66.4	8	"brown"	7274	"classic"	96	1	0
"39"	10	38	66.8	7	"plum"	9959	"classic"	727	1	900
"40"	8	31	21.2	3	"brown"	8054	"classic"	661	1	2400
"41"	6	30	51.4	7	"black"	6906	"classic"	0	0	800
"42"	6	10	40.6	7	"black"	5035	"modern"	0	0	300
"43"	6	15	37.4	6	"plum"	5484	"modern"	0	0	800
"44"	12	28	52.2	7	"black"	9668	"modern"	1228	1	1200
"45"	8	30	51.4	5	"black"	7901	"classic"	0	0	900
"46"	20	17	26.8	5	"plum"	12788	"modern"	1389	1	2800
"47"	8	29	53.6	6	"black"	7892	"classic"	283	1	800
"48"	6	28	73.7	8	"black"	6783	"classic"	188	1	0
"49"	16	27	84.7	3	"brown"	11780	"modern"	480	1	0
"50"	12	20	41.6	7	"red"	8859	"modern"	0	0	800
"51"	2	14	55.4	5	"black"	3326	"classic"	0	0	0
"52"	6	51	48.2	5	"black"	9062	"classic"	1147	1	1900
"53"	18	44	64.5	5	"brown"	14245	"classic"	1585	1	1900
"54"	18	21	41.3	7	"black"	12154	"modern"	1832	1	2000
"55"	2	20	71.4	5	"black"	4150	"classic"	0	0	0
"56"	16	31	25.3	10	"red"	12076	"modern"	1570	1	2600
"57"	20	7	52.6	9	"brown"	11654	"classic"	825	1	900
"58"	8	23	54.7	5	"red"	7351	"modern"	0	0	0
"59"	8	24	77.7	5	"black"	7282	"classic"	0	0	0
"60"	12	28	54.1	5	"red"	9944	"classic"	193	1	500
"61"	2	28	47.9	9	"brown"	4588	"modern"	187	1	400
"62"	8	6	50.6	6	"red"	5642	"classic"	0	0	0
"63"	14	50	70.5	7	"black"	13204	"modern"	2160	1	1600
"64"	14	32	45.1	2	"black"	11186	"modern"	668	1	1900
"65"	6	42	52.7	6	"black"	8316	"classic"	960	1	1300
"66"	10	22	79	10	"brown"	8335	"classic"	46	1	0
"67"	12	22	96.9	3	"brown"	9174	"classic"	0	0	0
"68"	8	36	56.9	4	"black"	8638	"modern"	92	1	900
"69"	4	56	36.3	8	"black"	8652	"modern"	1650	1	2600
"70"	6	47	20.1	3	"black"	8598	"modern"	933	1	3100
"71"	10	50	52.2	9	"brown"	11083	"modern"	2056	1	2100
"72"	8	33	74.4	6	"brown"	8130	"classic"	62	1	0
"73"	6	19	57.4	2	"red"	5996	"classic"	0	0	0
"74"	2	30	56.3	4	"black"	5022	"classic"	0	0	100
"75"	2	16	69.8	5	"black"	3674	"modern"	0	0	0
"76"	8	28	56.1	8	"brown"	7941	"modern"	308	1	600
"77"	6	18	0	6	"red"	5707	"modern"	0	0	2100
"78"	6	41	39	4	"black"	8206	"modern"	586	1	1900
"79"	4	28	34	1	"black"	5862	"classic"	0	0	1200
"80"	8	29	35.2	1	"black"	7891	"classic"	0	0	1600
"81"	18	10	43.5	9	"brown"	10923	"classic"	762	1	1300
"82"	12	27	40.9	4	"black"	9714	"modern"	781	1	1700
"83"	4	46	31.5	7	"red"	7706	"modern"	1048	1	1800
"84"	2	13	69.3	2	"black"	3291	"classic"	0	0	0
"85"	16	24	83	2	"brown"	11485	"classic"	208	1	0
"86"	4	33	47.9	5	"black"	6583	"modern"	0	0	900
"87"	12	22	19.6	10	"black"	9314	"modern"	801	1	2600
"88"	16	37	54.7	2	"brown"	12814	"modern"	509	1	1800
"89"	10	28	58.9	5	"red"	8839	"classic"	206	1	100
"90"	16	41	74.1	7	"black"	13106	"classic"	1901	1	1200
"91"	2	12	42.6	2	"brown"	3200	"modern"	0	0	0
"92"	2	21	53	5	"red"	4053	"modern"	0	0	0
"93"	14	5	49.7	2	"black"	8521	"classic"	0	0	300
"94"	8	24	13.8	5	"black"	7479	"modern"	356	1	2500
"95"	12	52	84.2	9	"brown"	12253	"classic"	2130	1	800
"96"	10	17	51	7	"brown"	7912	"modern"	0	0	400
"97"	2	22	35.5	5	"black"	4381	"modern"	0	0	700
"98"	4	40	44.6	2	"black"	7045	"classic"	37	1	1300
"99"	8	27	47.2	7	"black"	7776	"classic"	836	1	1000
"100"	2	42	27	4	"brown"	6231	"modern"	435	1	2000
"101"	14	46	36.7	4	"black"	12668	"modern"	1673	1	3000
"102"	6	29	29.4	6	"brown"	6812	"modern"	287	1	1700
"103"	10	18	44.7	2	"red"	7729	"classic"	0	0	200
"104"	6	52	39.3	6	"salmon"	9331	"modern"	1481	1	2600
"105"	10	14	24.6	9	"salmon"	7376	"modern"	393	1	1800
"106"	8	6	26	4	"red"	5397	"modern"	0	0	400
"107"	6	9	53.5	7	"brown"	4927	"modern"	0	0	0
"108"	8	13	86.4	6	"brown"	6345	"modern"	0	0	0
"109"	10	17	46.3	6	"salmon"	7568	"classic"	442	1	900
