"Ship"	"Beard"
"141"	"Nervous Goat"	38.319127773578
"137"	"Nervous Goat"	43.7685736194125
"118"	"Nervous Goat"	1.65850353314416
"114"	"Nervous Goat"	0.0664017529380652
"23"	"Angry Badger"	14.6754845522604
"17"	"Angry Badger"	22.9768984058847
"21"	"Angry Badger"	11.369046545338
"73"	"Fearless Snake"	23.1972229933999
"143"	"Nervous Goat"	37.5516797443787
"105"	"Nervous Goat"	0.232883720244798
"26"	"Angry Badger"	15.4072443687461
"83"	"Fearless Snake"	22.771416523989
"55"	"Fearless Snake"	23.422049578579
"127"	"Nervous Goat"	43.0664745951603
"9"	"Angry Badger"	20.0995715991085
"67"	"Fearless Snake"	21.3561861391231
"35"	"Angry Badger"	29.9620091838451
"121"	"Nervous Goat"	1.57462567288613
"36"	"Angry Badger"	18.917979116791
"32"	"Angry Badger"	24.9094779186187
"110"	"Nervous Goat"	0.104590180433459
"51"	"Fearless Snake"	16.5544132268616
"39"	"Angry Badger"	24.6945471205002
"106"	"Nervous Goat"	2.03305498994244
"50"	"Angry Badger"	28.727728581177
"142"	"Nervous Goat"	41.7433857688336
"54"	"Fearless Snake"	15.689607811714
"72"	"Fearless Snake"	19.4927152970135
"25"	"Angry Badger"	18.4111410858135
"90"	"Fearless Snake"	23.5621253798422
"111"	"Nervous Goat"	0.228642117135601
"3"	"Angry Badger"	23.5577480747355
"53"	"Fearless Snake"	23.9598792571808
"136"	"Nervous Goat"	40.7871140132199
"115"	"Nervous Goat"	0.884543055000915
"82"	"Fearless Snake"	19.3616830143479
"12"	"Angry Badger"	24.2781745145979
"70"	"Fearless Snake"	17.8248983932814
"13"	"Angry Badger"	23.6104472520021
"62"	"Fearless Snake"	19.2110773383434
"150"	"Nervous Goat"	39.4473253118621
"27"	"Angry Badger"	21.5144704435999
"57"	"Fearless Snake"	24.1205260084537
"85"	"Fearless Snake"	20.8499252043073
"95"	"Fearless Snake"	19.9961455378709
"19"	"Angry Badger"	21.723527655788
"80"	"Fearless Snake"	19.1591654400202
"30"	"Angry Badger"	18.5919370603649
"135"	"Nervous Goat"	39.6530343241674
"75"	"Fearless Snake"	14.0223470082583
"100"	"Fearless Snake"	22.5003383284516
"71"	"Fearless Snake"	23.9901489686174
"33"	"Angry Badger"	27.7138538836198
"43"	"Angry Badger"	26.6444386614052
"42"	"Angry Badger"	28.3902908899175
"112"	"Nervous Goat"	0.245097424164533
"1"	"Angry Badger"	22.6615273231857
"61"	"Fearless Snake"	14.9147554955372
"92"	"Fearless Snake"	18.6227417977804
"125"	"Nervous Goat"	1.43547998426161
"101"	"Nervous Goat"	4.02019696580685
"94"	"Fearless Snake"	23.9373953990682
"58"	"Fearless Snake"	17.5135363104848
"59"	"Fearless Snake"	21.0040505321887
"107"	"Nervous Goat"	0.909523179907121
"149"	"Nervous Goat"	35.804386242688
"123"	"Nervous Goat"	1.02088609644662
"56"	"Fearless Snake"	20.7707250009683
"77"	"Fearless Snake"	22.5432819130901
"129"	"Nervous Goat"	51.642543710746
"117"	"Nervous Goat"	0.196238066483703
"120"	"Nervous Goat"	0.434362563276197
