"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests"	"parrots"	"favorite.pirate"	"sword.type"	"sword.time"	"eyepatch"	"beard.length"	"fav.pixar"
"1"	1	"female"	"yes"	30	"JSSFP"	11	20	7	"Blackbeard"	"cutlass"	0.83	1	0	"Up"
"2"	2	"male"	"yes"	25	"CCCC"	15	6	3	"Anicetus"	"cutlass"	0.03	1	16	"Toy Story 2"
"3"	3	"male"	"yes"	25	"CCCC"	12	5	2	"Jack Sparrow"	"cutlass"	1.44	0	21	"Cars"
"4"	4	"male"	"yes"	29	"JSSFP"	12	0	1	"Edward Low"	"cutlass"	0.18	1	21	"The Incredibles"
"5"	5	"female"	"yes"	31	"CCCC"	17	11	10	"Anicetus"	"cutlass"	0.64	1	0	"Inside Out"
"6"	6	"male"	"yes"	30	"JSSFP"	12	2	2	"Jack Sparrow"	"sabre"	13.9	1	22	"Inside Out"
"7"	7	"female"	"no"	33	"JSSFP"	9	3	3	"Edward Low"	"banana"	11.04	1	0	"Inside Out"
"8"	8	"female"	"yes"	35	"JSSFP"	13	7	11	"Jack Sparrow"	"cutlass"	0.11	1	2	"Inside Out"
"9"	9	"male"	"no"	25	"CCCC"	9	9	4	"Hook"	"scimitar"	2.77	1	20	"Inside Out"
"10"	10	"female"	"yes"	34	"JSSFP"	9	13	1	"Anicetus"	"cutlass"	1.06	1	0	"Inside Out"
"11"	11	"male"	"yes"	25	"CCCC"	14	1	2	"Jack Sparrow"	"cutlass"	0.35	1	28	"Up"
"12"	12	"female"	"yes"	28	"CCCC"	8	13	2	"Jack Sparrow"	"sabre"	17.57	1	0	"Inside Out"
"13"	13	"male"	"yes"	25	"CCCC"	12	4	7	"Jack Sparrow"	"scimitar"	0.63	1	21	"Inside Out"
"14"	14	"female"	"yes"	29	"JSSFP"	10	7	3	"Hook"	"cutlass"	0.67	0	3	"Toy Story 2"
"15"	15	"male"	"yes"	29	"CCCC"	10	4	0	"Jack Sparrow"	"cutlass"	0.37	1	22	"The Incredibles"
"16"	16	"male"	"yes"	32	"JSSFP"	11	6	8	"Jack Sparrow"	"cutlass"	0.19	0	20	"Finding Nemo"
"17"	17	"male"	"yes"	24	"CCCC"	6	3	5	"Jack Sparrow"	"cutlass"	0.46	1	17	"Inside Out"
"18"	18	"female"	"yes"	32	"JSSFP"	11	0	5	"Edward Low"	"cutlass"	0.13	0	0	"Toy Story"
"19"	19	"female"	"yes"	21	"CCCC"	13	6	3	"Lewis Scot"	"cutlass"	0.55	1	1	"WALL-E"
